Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,169.750000,171.300003,169.619995,171.100006,171.100006,3720200
2017-04-18,170.789993,171.690002,169.830002,170.050003,170.050003,6345500
2017-04-19,161.759995,162.639999,159.600006,161.690002,161.690002,19284300
2017-04-20,161.320007,162.399994,160.500000,162.300003,162.300003,6486800
2017-04-21,162.050003,162.110001,160.380005,160.380005,160.380005,5607800
2017-04-24,161.289993,161.570007,160.419998,160.750000,160.750000,5320600
2017-04-25,161.779999,162.039993,160.380005,160.389999,160.389999,4860400
2017-04-26,160.529999,161.100006,159.889999,160.059998,160.059998,4327800
2017-04-27,160.289993,160.479996,159.630005,160.320007,160.320007,4122600
2017-04-28,160.500000,160.589996,159.699997,160.289993,160.289993,4154100
2017-05-01,160.050003,160.419998,158.699997,158.839996,158.839996,4935300
2017-05-02,159.440002,159.490005,158.639999,159.100006,159.100006,3208200
2017-05-03,158.740005,159.449997,158.520004,158.630005,158.630005,3993300
2017-05-04,158.889999,159.139999,158.360001,159.050003,159.050003,4280600
2017-05-05,153.520004,155.779999,153.000000,155.050003,155.050003,12521300
2017-05-08,152.800003,153.470001,152.199997,153.029999,153.029999,7492000
2017-05-09,152.600006,153.100006,151.559998,152.110001,152.110001,6853000
2017-05-10,151.649994,152.369995,151.130005,151.250000,151.250000,4999900
2017-05-11,151.050003,151.149994,149.789993,150.649994,150.649994,5627900
2017-05-12,150.300003,151.259995,150.000000,150.369995,150.369995,3715300
2017-05-15,150.619995,151.830002,150.450195,151.360001,151.360001,968695
