epoch,acc,loss,val_acc,val_loss
0,0.00748502974493,4.88564067258,0.0107784428729,4.87889458034
1,0.0100299398956,4.8701137497,0.0107784426498,4.87391718276
2,0.0113772452324,4.86017762829,0.0167664666911,4.85656920736
3,0.0161676641531,4.82871585263,0.0107784428729,4.82160750406
4,0.0163173647765,4.78583426675,0.0311377238884,4.78815429082
5,0.0193113764625,4.75737213375,0.0203592800898,4.76085587462
6,0.0224550886269,4.73676021085,0.0179640712317,4.77352617743
7,0.0223053883326,4.71964301606,0.0191616753261,4.73979686691
8,0.0241017952662,4.7028882889,0.0203592803128,4.75881637071
9,0.02694610634,4.68305947823,0.0299401186451,4.71090350751
10,0.027694609546,4.66539384077,0.0275449093409,4.72326409745
11,0.0303892201471,4.65649949719,0.0263473030157,4.69576864185
12,0.0345808368477,4.63907686393,0.0275449091513,4.68730216683
13,0.034131734565,4.62128442776,0.0275449098205,4.67106851132
14,0.0335329324174,4.60596714477,0.0275449088948,4.65404326616
15,0.0384730516938,4.59046859513,0.0263473046107,4.64952060848
16,0.0413173633812,4.58067029393,0.0359281406788,4.63616235242
17,0.0393712555175,4.56141071548,0.0323353275032,4.75230474815
18,0.0434131711264,4.54211170802,0.0275449086717,4.65573105841
19,0.0431137705434,4.53473587379,0.0335329325569,4.64046817197
20,0.0425149681058,4.5252091956,0.0275449091513,4.62912296821
21,0.0459580815503,4.50542092466,0.0407185615514,4.58659392774
22,0.0505988008292,4.49153711981,0.0419161672074,4.60330027163
23,0.0483532908099,4.48409016546,0.051497003532,4.57671505248
24,0.0523952071828,4.4596125894,0.0395209557059,4.60999994221
25,0.0513473036671,4.45303692218,0.0263473037184,4.60162179342
26,0.0568862245892,4.4332348401,0.0383233495704,4.55219848713
27,0.0543413145278,4.42268714505,0.0467065838417,4.56665513901
28,0.0598802367549,4.41419167718,0.0431137702199,4.52918992357
29,0.0564371229646,4.40146612407,0.0574850273837,4.53301124801
30,0.0616766439896,4.38027864445,0.0514970044243,4.4849652416
31,0.0643712552655,4.36427348531,0.057485028276,4.52524084674
32,0.0648203563547,4.34861826754,0.0658682633727,4.46827065017
33,0.0640718545095,4.33864291699,0.0526946101137,4.47824558098
34,0.0697604764454,4.31929140319,0.0574850262349,4.51886523698
35,0.0678143689777,4.30557118205,0.044311374504,4.48641785605
36,0.0721556859504,4.28910188332,0.0526946074368,4.47334516263
37,0.0736526920834,4.26798193755,0.0562874237354,4.45666520467
38,0.0752993990517,4.25537264133,0.0610778452104,4.43064912351
39,0.0712574827011,4.24004292631,0.0550898189383,4.41270736592
40,0.0784431111268,4.21042625062,0.0491017938151,4.37282494585
41,0.0784431121753,4.21080050211,0.057485026826,4.44678917331
42,0.0815868237597,4.19389049736,0.0526946080726,4.40624260189
43,0.0782934103362,4.17416373556,0.0538922136951,4.4263854141
44,0.086826345677,4.14820347004,0.057485028276,4.47673760488
45,0.0898203560692,4.13961965452,0.0622754470741,4.3362251099
46,0.0853293386628,4.12119344323,0.06107784279,4.48062009297
47,0.089071854369,4.10767232015,0.0622754496282,4.31474048649
48,0.0923652658072,4.08428972638,0.0646706546272,4.29939768272
49,0.0949101773966,4.08037190951,0.0730538873035,4.34017143706
