trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
679,False,"{'a': 0.5, 'e': 0.0011249687741748374}",20,16,8.126537141428395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.5, 'e': 0.0011137751478448032}",30,15,26.544754806892175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 0.0011026928999577018}",25,15,19.374633368431304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.0010917209222795108}",20,12,15.725073832221934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.0010808581176033184}",20,6,23.60812505532314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.5, 'e': 0.0010701033996396044}",20,15,8.312509686678716,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.5, 'e': 0.001059455692907609}",20,13,15.358091100567934,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 0.0010489139326277882}",20,15,11.66609733063186,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.0010384770646153282}",25,17,14.872080276384828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 0.0010281440451747298}",20,10,18.681789805726943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.0010179138409954376}",30,22,14.3546090220873,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.0010077854290485105}",30,21,15.368285000556277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 0.000997757796484312}",25,15,17.86087174414736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 0.0009878299405312295}",20,15,10.555180871117742,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 0.0009780008683953946}",20,10,16.93197407053764,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.5, 'e': 0.0009682695971614017}",30,19,18.273957667727103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.5, 'e': 0.0009586351536940199}",30,22,16.28196805541922,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 0.0009490965745408727}",20,9,19.938511428605818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 0.0009396529058360961}",20,7,25.310736875798383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.5, 'e': 0.000930303203204949}",25,16,15.321424161247567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 0.0009210465316693785}",25,11,24.604746503877596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,16,14.169818058413433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 0.0009028085883961136}",30,15,31.524250403615866,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 0.0008938254928488927}",30,15,28.51899286921624,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.0008849317805958146}",25,16,17.758370331325654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.0008761265622582417}",20,8,22.252440931847538,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 0.0008674089573070025}",30,8,21.750195460407312,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.5, 'e': 0.0008587780939743365}",20,15,11.602377825498298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 0.0008502331091667194}",25,11,27.436129808517638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
